# Sensor type: Thingy
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2094705
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695828933218,-0.01171875,-0.8466797,0.49804688,-0.90625,-0.34375,0.0625,0.0,0.0,0.0
1695828933258,-0.01171875,-0.8535156,0.50878906,-0.4375,-0.03125,0.0625,0.0,0.0,0.0
1695828933298,-0.015625,-0.85839844,0.49902344,-0.375,0.09375,-0.125,0.0,0.0,0.0
1695828933338,-0.01953125,-0.8535156,0.5029297,0.0625,0.15625,0.125,0.0,0.0,0.0
1695828933378,-0.018554688,-0.85546875,0.5107422,-0.03125,-0.28125,-0.1875,0.0,0.0,0.0
1695828933418,-0.015625,-0.85839844,0.51660156,0.03125,-0.03125,0.0625,0.0,0.0,0.0
1695828933458,-0.0107421875,-0.85839844,0.5058594,-0.03125,-0.15625,0.0,0.0,0.0,0.0
1695828933498,-0.020507812,-0.859375,0.5019531,0.15625,0.21875,-0.125,0.0,0.0,0.0
1695828933539,-0.01171875,-0.85253906,0.5058594,-0.09375,0.03125,-0.0625,0.0,0.0,0.0
1695828933579,-0.0078125,-0.8457031,0.5019531,0.03125,0.21875,0.125,54.4375,-66.6875,-73.6875
1695828933619,-0.013671875,-0.8486328,0.49902344,-0.09375,-0.03125,-0.1875,0.0,0.0,0.0
1695828933659,-0.022460938,-0.859375,0.49804688,0.03125,0.15625,-0.25,0.0,0.0,0.0
1695828933699,-0.017578125,-0.85058594,0.50878906,0.03125,0.09375,-0.125,0.0,0.0,0.0
1695828933739,-0.00390625,-0.8496094,0.5097656,0.09375,-0.03125,-0.0625,0.0,0.0,0.0
1695828933779,-0.0146484375,-0.8535156,0.4873047,-0.03125,0.03125,-0.0625,0.0,0.0,0.0
1695828933819,-0.0107421875,-0.8623047,0.49316406,0.3125,0.09375,-0.0625,0.0,0.0,0.0
1695828933859,-0.021484375,-0.8574219,0.5029297,0.3125,0.15625,-0.3125,0.0,0.0,0.0
1695828933899,-0.015625,-0.8515625,0.5136719,0.03125,0.21875,-0.4375,0.0,0.0,0.0
1695828933939,-0.01953125,-0.8466797,0.50390625,0.28125,0.21875,-0.375,0.0,0.0,0.0
1695828933979,-0.013671875,-0.85058594,0.5078125,0.21875,-0.03125,-0.125,0.0,0.0,0.0
1695828934019,-0.01953125,-0.8496094,0.49804688,0.15625,-0.03125,-0.125,0.0,0.0,0.0
1695828934059,-0.018554688,-0.8466797,0.5,0.15625,-0.15625,0.0,55.5,-65.9375,-75.0625
1695828934099,-0.0126953125,-0.85058594,0.5,0.09375,0.03125,0.0,0.0,0.0,0.0
1695828934139,-0.015625,-0.8574219,0.50097656,0.21875,-0.03125,-0.125,0.0,0.0,0.0
1695828934179,-0.013671875,-0.8564453,0.5136719,0.09375,0.21875,-0.125,0.0,0.0,0.0
1695828934219,-0.0029296875,-0.859375,0.5107422,0.09375,0.03125,-0.3125,0.0,0.0,0.0
1695828934260,-0.0126953125,-0.8564453,0.5019531,-0.09375,-0.09375,0.0,0.0,0.0,0.0
1695828934300,-0.0068359375,-0.85058594,0.5097656,0.09375,0.09375,-0.4375,0.0,0.0,0.0
1695828934340,-0.0126953125,-0.8574219,0.50390625,-0.15625,-0.03125,-0.1875,0.0,0.0,0.0
1695828934380,-0.013671875,-0.8535156,0.5058594,-0.09375,-0.34375,0.0,0.0,0.0,0.0
1695828934420,-0.013671875,-0.8544922,0.50390625,-0.40625,-0.09375,-0.125,0.0,0.0,0.0
1695828934460,-0.01953125,-0.8613281,0.5029297,-0.03125,-0.09375,-0.0625,0.0,0.0,0.0
1695828934500,-0.020507812,-0.8544922,0.5078125,0.4375,-0.03125,-0.125,0.0,0.0,0.0
1695828934540,-0.009765625,-0.8496094,0.51464844,0.09375,-0.21875,-0.25,0.0,0.0,0.0
1695828934580,-0.0146484375,-0.84277344,0.5078125,0.03125,0.34375,-0.3125,54.4375,-65.9375,-73.6875
1695828934620,-0.020507812,-0.8515625,0.51464844,0.21875,0.15625,-0.25,0.0,0.0,0.0
1695828934660,-0.01171875,-0.8515625,0.50683594,-0.03125,-0.03125,-0.125,0.0,0.0,0.0
1695828934700,-0.017578125,-0.84375,0.5058594,-0.28125,-0.15625,-0.125,0.0,0.0,0.0
1695828934740,-0.016601562,-0.85058594,0.5048828,-0.15625,-0.21875,0.0,0.0,0.0,0.0
1695828934780,-0.016601562,-0.86035156,0.5097656,-0.09375,-0.15625,-0.0625,0.0,0.0,0.0
1695828934820,-0.0107421875,-0.8574219,0.515625,-0.09375,-0.09375,-0.1875,0.0,0.0,0.0
1695828934860,-0.0126953125,-0.8535156,0.5175781,-0.15625,0.03125,-0.25,0.0,0.0,0.0
1695828934900,-0.018554688,-0.86035156,0.50878906,-0.15625,-0.15625,-0.3125,0.0,0.0,0.0
1695828934940,-0.0068359375,-0.85546875,0.4951172,0.15625,-0.15625,-0.1875,0.0,0.0,0.0
1695828934981,-0.0087890625,-0.8574219,0.51660156,-0.03125,-0.21875,0.0,0.0,0.0,0.0
1695828935021,-0.0068359375,-0.84765625,0.49804688,0.03125,0.03125,-0.125,0.0,0.0,0.0
