# Sensor type: Respeck
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2094705
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695828866940,0.06640625,-0.9902954,-0.08843994,0.546875,-0.1875,0.171875
1695828866980,0.068847656,-0.989563,-0.09136963,0.703125,-0.46875,0.046875
1695828867020,0.064697266,-1.0012817,-0.089660645,0.9375,-1.046875,0.453125
1695828867060,0.080078125,-0.97662354,-0.10333252,0.84375,0.3125,-0.28125
1695828867100,0.078125,-0.99786377,-0.08892822,1.34375,-1.296875,-0.21875
1695828867140,0.076416016,-0.9651489,-0.12310791,0.53125,0.765625,-0.546875
1695828867180,0.0703125,-1.0071411,-0.08795166,1.546875,-0.375,0.015625
1695828867220,0.0690918,-1.0027466,-0.10235596,1.328125,-0.484375,0.234375
1695828867260,0.0715332,-0.9771118,-0.10040283,0.859375,0.171875,0.203125
1695828867300,0.05810547,-0.99346924,-0.105529785,0.125,-0.28125,0.34375
1695828867340,0.06713867,-0.9961548,-0.10723877,-0.171875,-0.28125,-0.171875
1695828867380,0.07739258,-0.986145,-0.11553955,-0.09375,-0.203125,-0.0625
1695828867421,0.068115234,-0.991272,-0.10699463,0.15625,-0.3125,0.234375
1695828867461,0.061279297,-0.99786377,-0.113098145,0.0625,-0.40625,0.15625
1695828867501,0.07739258,-0.97979736,-0.11627197,0.015625,0.53125,-0.203125
1695828867541,0.072753906,-0.98565674,-0.108947754,-0.03125,-0.046875,0.03125
1695828867581,0.07128906,-0.98931885,-0.11065674,0.125,0.125,0.15625
1695828867621,0.06982422,-0.99053955,-0.10723877,-0.09375,0.15625,0.046875
1695828867661,0.07397461,-0.9927368,-0.11480713,0.078125,-0.046875,0.234375
1695828867701,0.07348633,-0.9932251,-0.113098145,-0.421875,0.46875,0.0
1695828867741,0.07324219,-0.98516846,-0.10430908,-0.125,-0.515625,-0.046875
1695828867781,0.067871094,-0.9883423,-0.120910645,-0.390625,-0.8125,0.15625
1695828867821,0.07885742,-0.97491455,-0.13018799,-0.5625,0.953125,-0.625
1695828867861,0.07739258,-1.0066528,-0.09893799,0.125,-0.421875,0.265625
1695828867901,0.07055664,-0.99053955,-0.11138916,-0.171875,-0.171875,-0.265625
1695828867941,0.08154297,-0.9793091,-0.109680176,-0.484375,-0.203125,-0.34375
1695828867981,0.06738281,-0.9963989,-0.11651611,-0.234375,-0.3125,-0.0625
1695828868021,0.07714844,-0.9902954,-0.11114502,-0.4375,-0.734375,-0.234375
1695828868061,0.072509766,-0.98223877,-0.12432861,-0.40625,-0.453125,-0.296875
1695828868101,0.07128906,-0.9898071,-0.10797119,-0.546875,-0.734375,-0.296875
1695828868141,0.064697266,-0.99224854,-0.11529541,-0.4375,-0.796875,-0.3125
1695828868182,0.07470703,-0.9837036,-0.11578369,-0.453125,0.03125,-0.515625
1695828868222,0.06640625,-0.9949341,-0.109436035,-0.296875,-0.65625,-0.046875
1695828868262,0.067871094,-0.98321533,-0.11553955,-0.265625,-0.15625,-0.296875
1695828868302,0.08081055,-0.99053955,-0.10650635,-0.265625,-0.359375,-0.21875
1695828868342,0.06591797,-0.99102783,-0.11553955,-0.25,-0.671875,-0.140625
1695828868382,0.07836914,-0.9898071,-0.105773926,0.265625,-0.8125,0.234375
1695828868422,0.07348633,-0.99420166,-0.12994385,-0.84375,0.03125,-0.3125
1695828868462,0.068603516,-1.0012817,-0.10699463,0.15625,-1.59375,0.078125
1695828868502,0.07714844,-0.96661377,-0.13214111,-0.671875,0.515625,-0.4375
1695828868542,0.07055664,-0.99713135,-0.10699463,0.078125,-0.25,0.046875
1695828868582,0.068359375,-0.99664307,-0.1116333,-0.046875,-0.265625,0.09375
1695828868622,0.08227539,-0.97735596,-0.11260986,-0.453125,-0.171875,-0.625
1695828868662,0.059814453,-0.99884033,-0.11529541,-0.421875,-0.671875,0.1875
1695828868702,0.0715332,-0.98516846,-0.11187744,-0.34375,-0.59375,-0.078125
1695828868742,0.0769043,-0.98272705,-0.11773682,-0.390625,-0.765625,-0.0625
1695828868782,0.0703125,-0.98809814,-0.11456299,-0.078125,-0.84375,0.0625
1695828868822,0.068603516,-0.99176025,-0.108947754,-0.140625,-1.296875,0.046875
1695828868862,0.06274414,-0.99346924,-0.117492676,-0.234375,-1.84375,-0.0625
1695828868902,0.08105469,-0.986145,-0.11920166,-0.265625,-1.4375,-0.296875
1695828868943,0.07299805,-0.98809814,-0.11553955,-0.09375,-1.890625,-0.015625
1695828868983,0.07519531,-0.98028564,-0.11773682,-0.546875,-1.109375,-0.265625
1695828869023,0.076171875,-0.98931885,-0.11431885,-0.578125,-0.84375,-0.34375
1695828869063,0.07885742,-0.9849243,-0.11090088,-0.234375,-1.203125,-0.0625
